date_order,city,store_type,store_name,total_cust,total_orders,quantity,total_sales,total_cost,profits
08-2023,New York,Retail,Chocolate Store 1,450,450,1364,11180,6686.1,4493.79
12-2023,Toronto,Retail,Chocolate Store 10,415,415,1261,10776.03,6462.13,4313.87
09-2023,Toronto,Retail,Chocolate Store 10,371,371,1156,10111.03,6086.66,4024.41
07-2023,Toronto,Retail,Chocolate Store 10,391,391,1160,9791.48,5905.79,3885.69
07-2024,Toronto,Retail,Chocolate Store 10,425,425,1283,10849.79,6444.64,4405.21
04-2024,Toronto,Retail,Chocolate Store 10,419,419,1281,10681.51,6480.19,4201.37
12-2024,Toronto,Retail,Chocolate Store 10,419,419,1282,10830.21,6503.1,4327.14
01-2023,Toronto,Retail,Chocolate Store 10,433,433,1349,11463.43,6893.81,4569.5
03-2024,Toronto,Retail,Chocolate Store 10,431,431,1269,10970.42,6618.56,4351.81
08-2024,Toronto,Retail,Chocolate Store 10,410,410,1240,10449.27,6331.59,4117.59
05-2023,Toronto,Retail,Chocolate Store 10,458,458,1396,11819.11,7076.39,4742.7
06-2024,Toronto,Retail,Chocolate Store 10,418,418,1289,10448.45,6282.21,4166.22
08-2023,Toronto,Retail,Chocolate Store 10,424,424,1272,11058.07,6613.65,4444.43
04-2023,Toronto,Retail,Chocolate Store 10,389,389,1160,9874.6,5878.6,3995.95
05-2024,Toronto,Retail,Chocolate Store 10,443,443,1337,11503.86,6849.74,4654.06
02-2024,Toronto,Retail,Chocolate Store 10,376,376,1070,8799.86,5272.37,3527.33
10-2024,Toronto,Retail,Chocolate Store 10,394,394,1195,9854.19,5915.03,3939.16
06-2023,Toronto,Retail,Chocolate Store 10,405,405,1274,10744.17,6446.03,4298.12
01-2024,Toronto,Retail,Chocolate Store 10,439,439,1318,11529.85,6897.32,4632.51
03-2023,Toronto,Retail,Chocolate Store 10,408,408,1259,11108.44,6655.98,4452.27
09-2024,Toronto,Retail,Chocolate Store 10,407,407,1216,10367.9,6218.55,4149.3
11-2023,Toronto,Retail,Chocolate Store 10,418,418,1235,10565.08,6325.02,4240.1
10-2023,Toronto,Retail,Chocolate Store 10,413,413,1224,10317.2,6219.27,4097.97
11-2024,Toronto,Retail,Chocolate Store 10,398,398,1142,9353.74,5650.97,3702.85
02-2023,Toronto,Retail,Chocolate Store 10,368,368,1073,9408.11,5664.45,3743.57
04-2023,Berlin,Airport,Chocolate Store 100,408,408,1247,10954.97,6546.88,4408.03
06-2023,Berlin,Airport,Chocolate Store 100,393,393,1198,10394.56,6271.76,4122.77
11-2024,Berlin,Airport,Chocolate Store 100,383,383,1144,9588.06,5763.98,3823.95
11-2023,Berlin,Airport,Chocolate Store 100,401,401,1204,10182.34,6144.47,4037.83
09-2024,Berlin,Airport,Chocolate Store 100,390,390,1166,10317.55,6140.14,4177.53
02-2023,Berlin,Airport,Chocolate Store 100,381,381,1151,9967.15,5962.69,4004.45
05-2024,Berlin,Airport,Chocolate Store 100,417,417,1214,10545.15,6358.03,4187.19
03-2023,Berlin,Airport,Chocolate Store 100,385,385,1157,9789.99,5845.64,3944.35
01-2024,Berlin,Airport,Chocolate Store 100,427,427,1261,10813.46,6506.84,4306.43
10-2024,Berlin,Airport,Chocolate Store 100,430,430,1296,11059.74,6553.91,4505.77
02-2024,Berlin,Airport,Chocolate Store 100,362,362,1095,9071.36,5419.15,3652.16
03-2024,Berlin,Airport,Chocolate Store 100,431,431,1318,11417.37,6805.9,4611.44
10-2023,Berlin,Airport,Chocolate Store 100,403,403,1200,10251.25,6140.49,4110.8
12-2024,Berlin,Airport,Chocolate Store 100,404,404,1192,10592.85,6363.01,4229.83
06-2024,Berlin,Airport,Chocolate Store 100,399,399,1206,9802.3,5865.37,3936.86
01-2023,Berlin,Airport,Chocolate Store 100,430,430,1285,10901.6,6524.11,4377.51
09-2023,Berlin,Airport,Chocolate Store 100,431,431,1294,11142.13,6726.96,4415.15
08-2023,Berlin,Airport,Chocolate Store 100,453,453,1368,11829.36,7059.4,4770.01
05-2023,Berlin,Airport,Chocolate Store 100,435,435,1273,10880.5,6608.21,4272.19
07-2023,Berlin,Airport,Chocolate Store 100,419,419,1239,10608.44,6386.61,4221.91
04-2024,Berlin,Airport,Chocolate Store 100,387,387,1222,10681.16,6414.52,4266.67
12-2023,Berlin,Airport,Chocolate Store 100,452,452,1284,11015.26,6573.15,4442.18
08-2024,Berlin,Airport,Chocolate Store 100,417,417,1254,10696.89,6371.26,4325.62
07-2024,Berlin,Airport,Chocolate Store 100,439,439,1285,11360.55,6761.77,4598.76
01-2023,New York,Retail,Chocolate Store 11,424,424,1251,10840.39,6504.72,4335.71
02-2024,New York,Retail,Chocolate Store 11,396,396,1208,10338.63,6215.63,4123.02
05-2023,New York,Retail,Chocolate Store 11,436,436,1297,11214.72,6709.22,4505.49
08-2023,New York,Retail,Chocolate Store 11,421,421,1315,11199.7,6685.47,4514.23
02-2023,New York,Retail,Chocolate Store 11,378,378,1114,9420.95,5652.51,3768.36
09-2023,New York,Retail,Chocolate Store 11,402,402,1182,10255.24,6170.84,4084.39
11-2023,New York,Retail,Chocolate Store 11,415,415,1261,10840,6457.67,4382.41
05-2024,New York,Retail,Chocolate Store 11,394,394,1132,9431.66,5587.14,3844.61
06-2023,New York,Retail,Chocolate Store 11,393,393,1183,10434.64,6245.05,4189.56
03-2023,New York,Retail,Chocolate Store 11,427,427,1345,10845.59,6485.87,4359.61
01-2024,New York,Retail,Chocolate Store 11,442,442,1344,11232.75,6730.35,4502.5
09-2024,New York,Retail,Chocolate Store 11,380,380,1168,10150.14,6082.48,4067.68
04-2023,New York,Retail,Chocolate Store 11,381,381,1132,9473.05,5685.25,3787.82
07-2023,New York,Retail,Chocolate Store 11,394,394,1165,9774.82,5860.4,3914.32
10-2024,New York,Retail,Chocolate Store 11,449,449,1386,11415.53,6834.26,4581.28
04-2024,New York,Retail,Chocolate Store 11,399,399,1191,10063.47,6041.04,4022.45
03-2024,New York,Retail,Chocolate Store 11,385,385,1189,10276.28,6195.66,4080.59
11-2024,New York,Retail,Chocolate Store 11,384,384,1183,10374.81,6209.88,4165.01
10-2023,New York,Retail,Chocolate Store 11,446,446,1299,10953.85,6569.9,4383.97
12-2023,New York,Retail,Chocolate Store 11,437,437,1313,11068.23,6638,4430.27
08-2024,New York,Retail,Chocolate Store 11,419,419,1295,11044.16,6636.65,4407.4
07-2024,New York,Retail,Chocolate Store 11,402,402,1169,10153.95,6090.89,4063.1
12-2024,New York,Retail,Chocolate Store 11,401,401,1160,9642.47,5741.36,3901.13
06-2024,New York,Retail,Chocolate Store 11,418,418,1254,10872.12,6553.64,4318.41
01-2023,London,Mall,Chocolate Store 12,404,404,1189,10290.92,6162.47,4128.41
11-2023,London,Mall,Chocolate Store 12,415,415,1232,10466.25,6283.56,4182.59
07-2023,London,Mall,Chocolate Store 12,445,445,1328,11399.93,6836.9,4563.08
12-2024,London,Mall,Chocolate Store 12,423,423,1292,11560.95,6982.35,4578.59
04-2024,London,Mall,Chocolate Store 12,395,395,1214,10404.57,6231.96,4172.7
12-2023,London,Mall,Chocolate Store 12,430,430,1313,11343.32,6803.01,4540.23
09-2024,London,Mall,Chocolate Store 12,405,405,1273,10783.99,6425.4,4358.69
11-2024,London,Mall,Chocolate Store 12,402,402,1223,10230.28,6166.47,4063.82
04-2023,London,Mall,Chocolate Store 12,403,403,1165,10081.81,6033.91,4047.91
08-2024,London,Mall,Chocolate Store 12,410,410,1248,10666.22,6344.28,4321.83
07-2024,London,Mall,Chocolate Store 12,387,387,1165,9899.44,5974.19,3925.24
10-2023,London,Mall,Chocolate Store 12,437,437,1309,11356.8,6819.55,4537.21
10-2024,London,Mall,Chocolate Store 12,409,409,1242,10666.16,6386.41,4279.67
03-2024,London,Mall,Chocolate Store 12,437,437,1317,11385.46,6823.76,4561.7
05-2023,London,Mall,Chocolate Store 12,447,447,1389,11884.23,7145.33,4738.89
02-2024,London,Mall,Chocolate Store 12,410,410,1243,10663.17,6405.01,4258.13
06-2024,London,Mall,Chocolate Store 12,391,391,1193,10362.69,6190.91,4171.83
01-2024,London,Mall,Chocolate Store 12,452,452,1349,11349.78,6841.65,4508.11
05-2024,London,Mall,Chocolate Store 12,418,418,1245,10502.85,6252.02,4250.93
06-2023,London,Mall,Chocolate Store 12,415,415,1285,10952.99,6544.8,4408.2
02-2023,London,Mall,Chocolate Store 12,336,336,998,8400.15,5084.74,3315.41
03-2023,London,Mall,Chocolate Store 12,449,449,1319,11184.29,6649.38,4534.97
09-2023,London,Mall,Chocolate Store 12,378,378,1139,9511.02,5666.5,3844.48
08-2023,London,Mall,Chocolate Store 12,407,407,1210,10389.03,6219.1,4169.86
05-2024,Melbourne,Retail,Chocolate Store 13,418,418,1265,10582.88,6369.69,4213.19
06-2023,Melbourne,Retail,Chocolate Store 13,439,439,1281,10675.53,6386.15,4289.41
12-2024,Melbourne,Retail,Chocolate Store 13,424,424,1287,10973.12,6626.71,4346.5
03-2023,Melbourne,Retail,Chocolate Store 13,438,438,1328,11381.9,6904.05,4477.89
01-2024,Melbourne,Retail,Chocolate Store 13,429,429,1250,10682.18,6370.27,4311.93
02-2023,Melbourne,Retail,Chocolate Store 13,394,394,1205,9567.85,5759.64,3808.26
10-2023,Melbourne,Retail,Chocolate Store 13,434,434,1288,10782.61,6401.12,4381.49
03-2024,Melbourne,Retail,Chocolate Store 13,402,402,1224,10355.24,6188.56,4166.68
11-2024,Melbourne,Retail,Chocolate Store 13,418,418,1233,10408.74,6224.13,4184.58
09-2024,Melbourne,Retail,Chocolate Store 13,451,451,1345,11229.13,6767.94,4461.19
08-2024,Melbourne,Retail,Chocolate Store 13,437,437,1313,11225.76,6775.4,4450.29
07-2024,Melbourne,Retail,Chocolate Store 13,436,436,1304,11132.43,6664.68,4467.84
01-2023,Melbourne,Retail,Chocolate Store 13,407,407,1223,10326.34,6145.73,4180.76
06-2024,Melbourne,Retail,Chocolate Store 13,408,408,1171,10058.95,5994.37,4064.64
12-2023,Melbourne,Retail,Chocolate Store 13,409,409,1191,10377.61,6247.82,4129.85
04-2024,Melbourne,Retail,Chocolate Store 13,424,424,1278,10971.53,6538.57,4432.9
08-2023,Melbourne,Retail,Chocolate Store 13,428,428,1317,10864.69,6510.63,4354.11
11-2023,Melbourne,Retail,Chocolate Store 13,439,439,1305,11170.56,6726.27,4444.23
07-2023,Melbourne,Retail,Chocolate Store 13,419,419,1239,10828.93,6484.21,4344.72
05-2023,Melbourne,Retail,Chocolate Store 13,468,468,1389,12180.78,7302.06,4878.72
02-2024,Melbourne,Retail,Chocolate Store 13,384,384,1154,9621.16,5788.73,3832.35
09-2023,Melbourne,Retail,Chocolate Store 13,374,374,1185,9887.83,6015.61,3872.2
10-2024,Melbourne,Retail,Chocolate Store 13,419,419,1214,9776.84,5878.16,3898.67
04-2023,Melbourne,Retail,Chocolate Store 13,408,408,1215,10530.23,6258.97,4271.34
07-2024,London,Airport,Chocolate Store 14,430,430,1252,10546.78,6354.51,4192.22
10-2023,London,Airport,Chocolate Store 14,445,445,1343,11166.17,6721.81,4444.3
08-2024,London,Airport,Chocolate Store 14,430,430,1308,10943.61,6563.4,4380.21
10-2024,London,Airport,Chocolate Store 14,415,415,1216,10154.49,6090.63,4064.04
05-2023,London,Airport,Chocolate Store 14,412,412,1230,10722.95,6437.12,4285.78
04-2023,London,Airport,Chocolate Store 14,414,414,1253,10471.51,6311.45,4160.01
08-2023,London,Airport,Chocolate Store 14,395,395,1165,9737.35,5912.81,3824.56
11-2023,London,Airport,Chocolate Store 14,355,355,1083,9087.39,5390.69,3696.74
11-2024,London,Airport,Chocolate Store 14,394,394,1194,9968.34,6025.21,3943.09
01-2024,London,Airport,Chocolate Store 14,421,421,1273,10873.34,6606.05,4267.38
03-2023,London,Airport,Chocolate Store 14,414,414,1255,10709.66,6374.25,4335.44
02-2023,London,Airport,Chocolate Store 14,407,407,1177,9743.8,5914.29,3829.52
05-2024,London,Airport,Chocolate Store 14,409,409,1195,10065.86,6074.44,3991.46
06-2023,London,Airport,Chocolate Store 14,421,421,1251,10513.23,6341.02,4172.27
02-2024,London,Airport,Chocolate Store 14,427,427,1307,11484.08,6961.55,4522.51
04-2024,London,Airport,Chocolate Store 14,400,400,1212,10208.66,6093.16,4115.62
12-2023,London,Airport,Chocolate Store 14,432,432,1344,11545.61,6904.7,4640.85
01-2023,London,Airport,Chocolate Store 14,404,404,1210,10341.44,6270.59,4070.89
06-2024,London,Airport,Chocolate Store 14,408,408,1185,10305.28,6154.83,4150.38
09-2023,London,Airport,Chocolate Store 14,427,427,1311,11303.67,6808.44,4495.32
12-2024,London,Airport,Chocolate Store 14,391,391,1163,9876.96,5931.66,3945.33
03-2024,London,Airport,Chocolate Store 14,431,431,1272,10904.1,6530.35,4373.85
09-2024,London,Airport,Chocolate Store 14,427,427,1300,10582.28,6349.57,4232.66
07-2023,London,Airport,Chocolate Store 14,422,422,1266,10240.92,6136.63,4104.28
12-2024,Paris,Airport,Chocolate Store 15,449,449,1372,11330.97,6779.46,4551.41
04-2023,Paris,Airport,Chocolate Store 15,453,453,1295,10858.23,6566.77,4291.52
07-2024,Paris,Airport,Chocolate Store 15,404,404,1181,9913.19,5934.44,3978.74
08-2024,Paris,Airport,Chocolate Store 15,428,428,1240,10392.84,6214.82,4178.04
12-2023,Paris,Airport,Chocolate Store 15,437,437,1300,10855.16,6463.09,4392.01
07-2023,Paris,Airport,Chocolate Store 15,429,429,1282,11253.6,6750.11,4503.5
09-2024,Paris,Airport,Chocolate Store 15,395,395,1140,9426.78,5668.94,3757.96
10-2024,Paris,Airport,Chocolate Store 15,426,426,1263,10655.68,6413.94,4241.69
10-2023,Paris,Airport,Chocolate Store 15,431,431,1278,10572.76,6354.52,4218.25
04-2024,Paris,Airport,Chocolate Store 15,414,414,1242,10430.59,6267.4,4163.1
05-2023,Paris,Airport,Chocolate Store 15,430,430,1268,10801.68,6382.2,4419.49
06-2024,Paris,Airport,Chocolate Store 15,392,392,1193,9790.72,5878.07,3912.72
01-2023,Paris,Airport,Chocolate Store 15,425,425,1256,11164.85,6611.93,4552.87
08-2023,Paris,Airport,Chocolate Store 15,431,431,1249,10536.46,6303.3,4233.07
03-2023,Paris,Airport,Chocolate Store 15,454,454,1336,11109.54,6666.27,4443.3
01-2024,Paris,Airport,Chocolate Store 15,416,416,1257,10942.85,6603.18,4339.68
02-2023,Paris,Airport,Chocolate Store 15,361,361,1059,8899.08,5370.89,3528.16
02-2024,Paris,Airport,Chocolate Store 15,392,392,1183,9757.73,5856.72,3900.98
06-2023,Paris,Airport,Chocolate Store 15,390,390,1155,9722.42,5799.34,3923.04
05-2024,Paris,Airport,Chocolate Store 15,400,400,1173,9902.12,5964.57,3937.46
09-2023,Paris,Airport,Chocolate Store 15,418,418,1261,10175.32,6121,4054.32
11-2023,Paris,Airport,Chocolate Store 15,389,389,1136,9417.71,5642.14,3775.59
03-2024,Paris,Airport,Chocolate Store 15,422,422,1301,10944.23,6594.32,4349.85
11-2024,Paris,Airport,Chocolate Store 15,410,410,1209,10091.03,6078.19,4012.78
01-2024,New York,Mall,Chocolate Store 16,430,430,1308,11085.68,6663.29,4422.36
03-2023,New York,Mall,Chocolate Store 16,419,419,1253,10763.85,6441.88,4322
05-2024,New York,Mall,Chocolate Store 16,465,465,1395,11827.92,7040.81,4787.02
06-2023,New York,Mall,Chocolate Store 16,447,447,1366,11638.28,6984,4654.29
05-2023,New York,Mall,Chocolate Store 16,399,399,1173,9699.28,5845.97,3853.42
11-2023,New York,Mall,Chocolate Store 16,381,381,1147,9610.17,5742.74,3867.46
02-2024,New York,Mall,Chocolate Store 16,407,407,1227,10467.08,6298.77,4168.31
01-2023,New York,Mall,Chocolate Store 16,438,438,1296,10773.45,6488.92,4284.52
06-2024,New York,Mall,Chocolate Store 16,396,396,1157,9612.36,5750.07,3862.27
09-2023,New York,Mall,Chocolate Store 16,411,411,1264,11205.24,6700.83,4504.34
02-2023,New York,Mall,Chocolate Store 16,380,380,1136,9671.08,5804.3,3866.8
08-2023,New York,Mall,Chocolate Store 16,395,395,1159,9508.92,5663.74,3845.24
12-2023,New York,Mall,Chocolate Store 16,444,444,1344,11454.03,6872.98,4581.17
07-2024,New York,Mall,Chocolate Store 16,441,441,1294,11083.5,6655.29,4428.2
08-2024,New York,Mall,Chocolate Store 16,433,433,1329,10917.49,6502.84,4414.71
10-2023,New York,Mall,Chocolate Store 16,375,375,1116,9428.76,5640.02,3788.61
11-2024,New York,Mall,Chocolate Store 16,375,375,1109,9369.28,5677.1,3692.13
04-2023,New York,Mall,Chocolate Store 16,385,385,1124,9689.78,5799.07,3890.7
09-2024,New York,Mall,Chocolate Store 16,415,415,1258,10529.97,6326.76,4203.21
07-2023,New York,Mall,Chocolate Store 16,441,441,1289,10741.15,6369.59,4371.65
04-2024,New York,Mall,Chocolate Store 16,365,365,1103,8751.34,5256.01,3495.26
12-2024,New York,Mall,Chocolate Store 16,450,450,1404,11745.95,7076.57,4669.33
03-2024,New York,Mall,Chocolate Store 16,432,432,1306,11186.1,6763.12,4423.09
10-2024,New York,Mall,Chocolate Store 16,425,425,1280,10809.68,6427.58,4381.99
07-2023,Melbourne,Airport,Chocolate Store 17,400,400,1173,9877.12,5914.64,3962.45
12-2024,Melbourne,Airport,Chocolate Store 17,444,444,1327,10721.81,6420.55,4301.27
10-2024,Melbourne,Airport,Chocolate Store 17,376,376,1137,9947.62,5991.76,3955.91
01-2024,Melbourne,Airport,Chocolate Store 17,402,402,1172,10242.77,6146.14,4096.58
03-2023,Melbourne,Airport,Chocolate Store 17,437,437,1349,11676.13,7062.01,4614.12
12-2023,Melbourne,Airport,Chocolate Store 17,415,415,1226,10509.21,6366.12,4143.16
10-2023,Melbourne,Airport,Chocolate Store 17,400,400,1253,10160.53,6057.11,4103.5
11-2024,Melbourne,Airport,Chocolate Store 17,455,455,1350,11712.14,6926.27,4785.78
09-2024,Melbourne,Airport,Chocolate Store 17,427,427,1231,10463.87,6223.33,4240.43
03-2024,Melbourne,Airport,Chocolate Store 17,390,390,1183,9743.3,5867.04,3876.22
04-2023,Melbourne,Airport,Chocolate Store 17,413,413,1259,10675.02,6327.32,4347.75
06-2024,Melbourne,Airport,Chocolate Store 17,391,391,1192,9947.81,5966.23,3981.63
08-2023,Melbourne,Airport,Chocolate Store 17,441,441,1316,11001.93,6608.54,4393.39
02-2023,Melbourne,Airport,Chocolate Store 17,370,370,1137,9755.62,5904.68,3850.89
02-2024,Melbourne,Airport,Chocolate Store 17,407,407,1243,10758.73,6420.16,4338.49
07-2024,Melbourne,Airport,Chocolate Store 17,418,418,1256,10614.88,6416.57,4198.34
08-2024,Melbourne,Airport,Chocolate Store 17,461,461,1393,11893.2,7144.63,4748.55
09-2023,Melbourne,Airport,Chocolate Store 17,354,354,1078,8977.22,5415.01,3562.24
04-2024,Melbourne,Airport,Chocolate Store 17,403,403,1210,10143.54,6046.3,4097.23
11-2023,Melbourne,Airport,Chocolate Store 17,420,420,1232,10546.99,6334.08,4212.88
06-2023,Melbourne,Airport,Chocolate Store 17,379,379,1142,9501.63,5679.33,3822.26
05-2023,Melbourne,Airport,Chocolate Store 17,448,448,1382,11559.02,6906.24,4652.77
05-2024,Melbourne,Airport,Chocolate Store 17,401,401,1241,10211.26,6123.85,4087.42
01-2023,Melbourne,Airport,Chocolate Store 17,459,459,1316,11217.5,6728.15,4489.32
05-2023,London,Retail,Chocolate Store 18,380,380,1116,9205.77,5532.99,3672.77
02-2024,London,Retail,Chocolate Store 18,405,405,1214,10262.12,6170.57,4091.58
06-2024,London,Retail,Chocolate Store 18,392,392,1201,10014.71,5954.69,4060.03
02-2023,London,Retail,Chocolate Store 18,347,347,1035,9191.83,5566.42,3625.39
08-2023,London,Retail,Chocolate Store 18,432,432,1294,10994.78,6535.23,4459.56
01-2023,London,Retail,Chocolate Store 18,406,406,1201,10375.97,6201.13,4174.82
03-2023,London,Retail,Chocolate Store 18,431,431,1233,10256.15,6088.55,4167.78
01-2024,London,Retail,Chocolate Store 18,420,420,1270,10611.67,6406.3,4205.38
05-2024,London,Retail,Chocolate Store 18,442,442,1347,10960.07,6648.78,4311.23
06-2023,London,Retail,Chocolate Store 18,380,380,1134,10048.55,6000.93,4047.62
07-2023,London,Retail,Chocolate Store 18,410,410,1208,9740.41,5814.04,3926.43
11-2023,London,Retail,Chocolate Store 18,395,395,1153,10340.62,6233.04,4107.57
09-2023,London,Retail,Chocolate Store 18,419,419,1284,11094.91,6694.93,4399.93
12-2024,London,Retail,Chocolate Store 18,419,419,1286,10744.85,6427.23,4317.7
03-2024,London,Retail,Chocolate Store 18,396,396,1165,9587.14,5807.76,3779.4
11-2024,London,Retail,Chocolate Store 18,412,412,1253,10748.09,6453.27,4294.87
12-2023,London,Retail,Chocolate Store 18,414,414,1251,10876.08,6639.25,4236.85
10-2024,London,Retail,Chocolate Store 18,431,431,1313,11231.6,6750.16,4481.55
04-2024,London,Retail,Chocolate Store 18,377,377,1102,9146.95,5498.26,3648.7
07-2024,London,Retail,Chocolate Store 18,426,426,1297,11111.85,6639.21,4472.56
08-2024,London,Retail,Chocolate Store 18,440,440,1323,11024.25,6604.69,4419.52
10-2023,London,Retail,Chocolate Store 18,469,469,1443,12184.91,7314.64,4870.38
09-2024,London,Retail,Chocolate Store 18,420,420,1219,10565.67,6355.62,4210.03
04-2023,London,Retail,Chocolate Store 18,425,425,1242,10110.26,6103.73,4006.57
01-2024,New York,Airport,Chocolate Store 19,430,430,1278,10817.53,6532.5,4284.95
02-2024,New York,Airport,Chocolate Store 19,378,378,1074,9297.4,5529.85,3767.55
03-2023,New York,Airport,Chocolate Store 19,407,407,1262,10721.55,6430.84,4290.68
05-2024,New York,Airport,Chocolate Store 19,409,409,1228,10669.06,6330.88,4338.06
05-2023,New York,Airport,Chocolate Store 19,378,378,1152,9547.69,5677.04,3870.7
01-2023,New York,Airport,Chocolate Store 19,408,408,1217,10839.3,6492.43,4346.79
11-2024,New York,Airport,Chocolate Store 19,427,427,1280,10432.49,6289.05,4143.46
10-2024,New York,Airport,Chocolate Store 19,426,426,1263,10563.76,6299.2,4264.56
08-2023,New York,Airport,Chocolate Store 19,418,418,1248,10188.92,6136.17,4052.74
06-2023,New York,Airport,Chocolate Store 19,412,412,1207,10313.33,6132.87,4180.45
09-2024,New York,Airport,Chocolate Store 19,415,415,1292,10969.35,6652.46,4316.91
11-2023,New York,Airport,Chocolate Store 19,418,418,1229,10490.44,6299.2,4191.26
02-2023,New York,Airport,Chocolate Store 19,374,374,1147,9876.06,5873.95,4002.1
10-2023,New York,Airport,Chocolate Store 19,440,440,1339,11315.52,6830.79,4484.66
03-2024,New York,Airport,Chocolate Store 19,428,428,1303,11151.05,6742.88,4408.21
06-2024,New York,Airport,Chocolate Store 19,381,381,1141,9984.81,6026.66,3958.04
04-2023,New York,Airport,Chocolate Store 19,405,405,1223,10194.98,6172.17,4022.75
07-2024,New York,Airport,Chocolate Store 19,424,424,1293,10661.81,6382.12,4279.63
08-2024,New York,Airport,Chocolate Store 19,409,409,1239,10659.56,6325.52,4334.13
12-2023,New York,Airport,Chocolate Store 19,441,441,1334,11381.63,6824.28,4557.35
12-2024,New York,Airport,Chocolate Store 19,406,406,1193,10196.2,6086.97,4109.2
07-2023,New York,Airport,Chocolate Store 19,453,453,1395,11856.11,7160.06,4696.06
04-2024,New York,Airport,Chocolate Store 19,398,398,1162,10034,6065.89,3968.14
09-2023,New York,Airport,Chocolate Store 19,405,405,1231,10337.98,6181.38,4156.57
03-2024,Melbourne,Mall,Chocolate Store 2,411,411,1232,10221.72,6160.01,4061.64
10-2023,Melbourne,Mall,Chocolate Store 2,391,391,1175,9728.83,5851.67,3877.12
09-2024,Melbourne,Mall,Chocolate Store 2,397,397,1164,9629.52,5707.24,3922.29
04-2024,Melbourne,Mall,Chocolate Store 2,413,413,1182,10194.95,6167.93,4027.01
08-2024,Melbourne,Mall,Chocolate Store 2,385,385,1173,10115.47,6132.94,3982.56
10-2024,Melbourne,Mall,Chocolate Store 2,421,421,1244,10701.7,6400.06,4301.63
07-2024,Melbourne,Mall,Chocolate Store 2,404,404,1246,10400.87,6254.99,4145.92
12-2023,Melbourne,Mall,Chocolate Store 2,407,407,1184,10038.34,6019.22,4018.96
07-2023,Melbourne,Mall,Chocolate Store 2,434,434,1271,11131.39,6727.28,4404.21
04-2023,Melbourne,Mall,Chocolate Store 2,404,404,1200,9975.77,6008.8,3966.98
12-2024,Melbourne,Mall,Chocolate Store 2,426,426,1270,10501.12,6340.28,4160.81
11-2023,Melbourne,Mall,Chocolate Store 2,388,388,1161,9783.69,5901.37,3882.38
11-2024,Melbourne,Mall,Chocolate Store 2,408,408,1203,10305.86,6204.73,4101.12
02-2023,Melbourne,Mall,Chocolate Store 2,363,363,1065,8878.22,5318.67,3559.56
05-2024,Melbourne,Mall,Chocolate Store 2,434,434,1271,11079.49,6618.15,4461.39
09-2023,Melbourne,Mall,Chocolate Store 2,394,394,1213,10640.55,6326.49,4314.03
02-2024,Melbourne,Mall,Chocolate Store 2,389,389,1162,9879.16,5984.2,3894.9
06-2023,Melbourne,Mall,Chocolate Store 2,394,394,1209,10197.1,6102.46,4094.62
01-2023,Melbourne,Mall,Chocolate Store 2,422,422,1295,11278.87,6752.5,4526.31
06-2024,Melbourne,Mall,Chocolate Store 2,397,397,1181,10070.68,6047.77,4022.91
08-2023,Melbourne,Mall,Chocolate Store 2,421,421,1287,10618.14,6350.37,4267.73
01-2024,Melbourne,Mall,Chocolate Store 2,412,412,1235,10276.12,6112.1,4164.07
