customer_id,age,gender,loyalty,join_date,avg_spending,unique_orders,total_orders,total_sales,retention
C037235,24,Female,1,2025-09-12,30.0934486224734,29,95,872.71,19
C040986,50,Female,1,2025-07-17,27.7822858265468,35,114,972.38,19
C044629,38,Male,0,2024-06-06,23.3955557015207,36,104,842.24,19
C044776,43,Male,0,2025-06-07,27.1194441715876,36,104,976.3,19
C042153,68,Male,1,2026-01-09,26.7716664393743,30,95,803.15,19
C042934,33,Female,1,2025-04-30,26.8374998867512,32,99,858.8,19
C046258,68,Male,0,2024-01-29,22.9644739314129,38,103,872.65,19
C047335,65,Female,0,2025-11-27,21.9486111667421,36,99,790.15,19
C048517,19,Female,1,2025-12-05,25.3072729905446,33,90,835.14,19
C049966,47,Female,1,2025-10-27,25.3088889122009,27,82,683.34,19
C049199,29,Male,0,2022-01-31,27.0616667469343,36,116,974.22,20
C049264,62,Female,1,2023-01-26,26.9615150942947,33,104,889.73,20
C049296,62,Female,0,2024-09-03,24.6990908781687,33,98,815.07,20
C049365,22,Female,1,2023-05-03,22.0297055945677,34,103,749.01,20
C049472,61,Female,0,2022-09-10,23.93529410222,34,104,813.8,20
C049714,32,Male,0,2026-01-29,25.8864517058096,31,100,802.48,20
C048574,58,Male,1,2023-03-21,23.756666580836,33,93,783.97,20
C048396,40,Male,1,2022-01-09,21.1746875941753,32,95,677.59,20
C048669,67,Female,0,2025-07-20,24.0917646323933,34,102,819.12,20
C048921,54,Male,0,2024-06-02,23.5717646234176,34,93,801.44,20
C046071,23,Female,0,2024-08-20,20.9923530045678,34,92,713.74,20
C043001,64,Female,1,2023-11-01,23.9203333059947,30,93,717.61,20
C043134,70,Female,1,2022-04-26,28.4123527232338,34,117,966.02,20
C042336,54,Male,1,2022-08-25,23.7149999492309,34,97,806.31,20
C042397,26,Male,1,2022-01-29,24.2586111227671,36,100,873.31,20
C042556,57,Female,0,2021-09-19,25.9155881475,34,118,881.13,20
C042610,66,Male,0,2024-04-30,26.9025715010507,35,103,941.59,20
C042866,65,Male,0,2023-09-13,23.2932260113378,31,82,722.09,20
C045377,22,Female,1,2025-02-15,23.9085712296622,35,97,836.8,20
C045480,38,Female,1,2021-08-29,26.0900000910605,31,89,808.79,20
C043945,49,Female,1,2025-05-11,26.1037931771114,29,91,757.01,20
C044141,27,Male,0,2025-07-11,25.4974998086691,32,90,815.92,20
C039082,56,Male,0,2021-05-29,27.1431249976158,32,104,868.58,20
C039356,56,Female,1,2025-12-15,28.6541175000808,34,107,974.24,20
C037252,60,Male,0,2025-11-12,25.2052382741656,21,64,529.31,20
C037350,46,Female,0,2021-04-13,26.4638888835907,36,96,952.7,20
C038732,70,Male,1,2023-07-07,22.4321875423193,32,84,717.83,20
C026535,66,Female,0,2022-02-06,23.8332258962816,31,88,738.83,20
C026477,24,Female,1,2021-11-20,30.346874833107,32,100,971.1,20
C026828,68,Male,1,2021-08-23,26.9216000366211,25,76,673.04,20
C027082,22,Male,0,2021-04-10,27.8896774322756,31,106,864.58,20
C025342,22,Male,0,2025-12-11,30.653030424407,33,109,1011.55,20
C025818,27,Male,1,2025-12-06,18.8962962362501,27,79,510.2,20
C023482,59,Male,0,2023-03-09,29.8157139778137,35,125,1043.55,20
C023205,39,Female,1,2025-11-29,31.7570586064283,34,103,1079.74,20
C024416,30,Female,0,2025-12-20,23.7435485624498,31,88,736.05,20
C024866,41,Female,1,2022-03-28,22.0103029915781,33,88,726.34,20
C022046,36,Male,1,2022-12-25,21.9063888854451,36,93,788.63,20
C020816,51,Male,1,2025-09-09,19.3003125339746,32,84,617.61,20
C020086,42,Female,0,2023-04-26,24.2978125140071,32,100,777.53,20
C020498,33,Male,1,2023-03-03,31.4331428664071,35,117,1100.16,20
C018789,56,Male,1,2024-12-07,27.7672727685986,33,98,916.32,20
C019436,55,Male,0,2025-05-23,23.6678788083972,33,94,781.04,20
C031981,47,Female,1,2021-11-14,24.5124242305756,33,95,808.91,20
C031544,19,Female,0,2021-12-21,27.8376469752368,34,100,946.48,20
C031564,45,Male,1,2025-05-12,27.2711428097316,35,109,954.49,20
C030582,37,Female,1,2023-03-27,25.9165518694911,29,93,751.58,20
C028658,27,Female,0,2025-05-01,24.0448386284613,31,101,745.39,20
C028865,68,Male,1,2024-02-29,19.2277777989705,27,82,519.15,20
C029027,68,Female,1,2021-03-29,26.9365626052022,32,99,861.97,20
C028529,24,Male,0,2022-03-21,28.3403031681523,33,94,935.23,20
C032535,64,Male,1,2023-11-07,20.9595453739166,22,61,461.11,20
C032746,31,Female,0,2024-10-20,30.4214705158682,34,105,1034.33,20
C032858,32,Male,1,2022-01-22,24.2231250405312,32,94,775.14,20
C034132,68,Male,0,2025-01-02,29.4955553876029,36,124,1061.84,20
C034793,44,Female,1,2024-05-19,30.0825926462809,27,87,812.23,20
C034617,21,Female,1,2025-01-24,27.3661287599994,31,87,848.35,20
C034937,45,Male,1,2023-11-22,27.2851426942008,35,105,954.98,20
C036123,23,Male,1,2023-04-17,25.4217647804933,34,103,864.34,20
C036332,65,Female,0,2021-06-27,27.8106061473037,33,120,917.75,20
C035567,55,Male,1,2024-11-28,26.1356665770213,30,87,784.07,20
C035627,49,Female,0,2021-05-06,28.1805554760827,36,119,1014.5,20
C003964,61,Male,1,2022-07-16,26.7100002095103,32,99,854.72,20
C002416,50,Male,0,2021-12-13,29.6811110840903,36,108,1068.52,20
C002655,39,Male,1,2025-05-24,28.150294121574,34,99,957.11,20
C002950,37,Female,0,2023-01-14,29.6306893085611,29,87,859.29,20
C000873,44,Male,0,2021-04-04,29.1323530112996,34,108,990.5,20
C001031,40,Male,0,2022-10-07,21.9191667636236,24,64,526.06,20
C000670,68,Female,0,2026-02-27,34.0066666046778,30,111,1020.2,20
C000309,35,Male,1,2023-08-12,27.6329411548727,34,108,939.52,20
C001470,37,Male,0,2025-02-05,28.3558622228688,29,89,822.32,20
C001489,19,Female,0,2021-11-15,21.913333495458,30,76,657.4,20
C001509,53,Female,0,2023-04-07,26.226060628891,33,103,865.46,20
C001546,35,Female,1,2022-02-06,23.5409677567021,31,86,729.77,20
C005820,52,Male,0,2022-03-10,24.084999722593,34,90,818.89,20
C005893,47,Female,1,2023-02-17,27.9146666606267,30,99,837.44,20
C006975,56,Female,1,2025-10-17,19.4123527793323,34,89,660.02,20
C007325,47,Female,1,2023-02-25,23.2905715738024,35,99,815.17,20
C007586,35,Male,1,2021-03-07,25.4143333276113,30,98,762.43,20
C008087,58,Female,1,2025-12-11,28.7484848860538,33,105,948.7,20
C008356,62,Female,1,2022-05-29,28.9379999297006,35,106,1012.83,20
C008409,30,Male,0,2021-07-31,26.8213794478055,29,104,777.82,20
C008818,18,Female,1,2022-09-07,24.4120001220703,25,73,610.3,20
C008998,69,Female,1,2023-06-12,20.3041175814236,34,92,690.34,20
C008999,65,Male,0,2023-04-15,28.7636108795802,36,121,1035.49,20
C011074,63,Male,1,2022-10-25,22.4965515629999,29,88,652.4,20
C010504,54,Female,1,2025-09-22,25.9836667378743,30,90,779.51,20
C009901,67,Female,0,2021-10-09,21.3251613032433,31,87,661.08,20
C009919,32,Male,1,2024-03-01,30.4205555386013,36,123,1095.14,20
C013532,49,Female,1,2024-10-18,24.2418750822544,32,103,775.74,20
C013270,26,Male,0,2021-11-10,23.5535485667567,31,95,730.16,20
C012595,26,Male,1,2021-03-20,27.5071427345276,35,109,962.75,20
C012460,32,Male,0,2023-01-31,26.786363659483,33,100,883.95,20
C014591,26,Female,0,2024-07-25,21.2794285365513,35,99,744.78,20
C014833,57,Female,1,2024-10-16,31.3889655080335,29,94,910.28,20
C014257,67,Male,1,2025-12-27,29.2119442356957,36,103,1051.63,20
C014276,45,Male,1,2025-08-20,27.1739393075307,33,104,896.74,20
C015563,55,Female,0,2022-12-11,26.6758065377512,31,99,826.95,20
C015279,64,Female,1,2025-04-06,22.3593334039052,30,88,670.78,20
C016237,68,Female,1,2024-12-07,26.380882564713,34,103,896.95,20
C016385,43,Female,1,2023-05-09,27.2534374296665,32,94,872.11,20
C016419,32,Male,1,2022-06-24,28.6203447868084,29,97,829.99,20
C018251,64,Female,1,2024-01-22,25.0931249186397,32,97,802.98,20
C018150,67,Male,1,2023-12-17,29.4069997946421,30,101,882.21,21
C017808,47,Female,0,2022-03-21,24.6937499493361,32,91,790.2,21
C017436,47,Male,1,2023-10-18,30.1960000038147,30,106,905.88,21
C017223,27,Male,1,2024-03-24,27.1677145004272,35,114,950.87,21
C017467,19,Male,0,2022-01-25,21.68500007689,32,93,693.92,21
C016390,37,Female,0,2024-07-11,24.780714069094,28,82,693.86,21
C016370,35,Male,1,2023-10-31,28.4273336410522,30,94,852.82,21
C016324,60,Female,0,2024-05-07,27.5463632236828,33,98,909.03,21
C016548,58,Male,0,2022-09-02,25.3412121425975,33,98,836.26,21
C016093,63,Male,1,2023-03-14,24.2740625739098,32,98,776.77,21
C016119,21,Female,0,2021-09-18,25.4954545425646,33,99,841.35,21
C017086,46,Male,0,2022-07-22,21.3970968723297,31,84,663.31,21
C015373,60,Female,1,2025-08-02,25.4957141450473,28,81,713.88,21
C015145,69,Male,0,2024-04-14,25.7232259165856,31,84,797.42,21
C015477,59,Female,1,2024-10-19,30.3180646588725,31,100,939.86,21
C015784,54,Female,0,2024-06-04,22.6775757038232,33,88,748.36,21
C015755,40,Male,0,2024-06-22,19.9853570801871,28,77,559.59,21
C015986,49,Male,1,2023-04-13,27.8499999046326,30,98,835.5,21
C014215,66,Female,1,2021-05-24,22.470833281676,24,59,539.3,21
C014174,27,Male,1,2023-02-06,22.9650000964894,34,99,780.81,21
C013978,44,Male,0,2023-05-03,22.7875754760973,33,92,751.99,21
C014850,28,Male,0,2024-08-16,27.6609089952527,33,104,912.81,21
C014796,37,Female,1,2025-03-15,28.7925001531839,32,99,921.36,21
C014721,25,Female,0,2021-08-18,26.1758621807756,29,107,759.1,21
C014351,28,Male,1,2023-08-05,24.0008824853336,34,100,816.03,21
C012029,37,Male,0,2023-12-28,25.449999851339,34,104,865.3,21
C011714,44,Female,1,2021-10-22,32.0483332951864,30,99,961.45,21
C011633,32,Female,0,2022-01-01,26.9082760810852,29,91,780.34,21
C013011,38,Male,1,2023-10-01,29.0224998891354,32,101,928.72,21
C013624,64,Male,0,2025-11-21,25.7328570740564,28,86,720.52,21
C013691,25,Male,1,2023-10-19,23.0749999433756,32,89,738.4,21
C009869,31,Male,1,2025-12-13,24.3538706225734,31,85,754.97,21
C010075,65,Female,1,2023-11-03,26.3217645322575,34,107,894.94,21
C009155,27,Male,0,2024-01-14,18.6423530438367,34,97,633.84,21
C009484,36,Male,0,2024-06-10,22.5148148889895,27,71,607.9,21
C009527,52,Female,0,2025-08-23,22.4839392430855,33,80,741.97,21
C010543,28,Female,1,2023-01-17,24.4888233787873,34,93,832.62,21
C010683,33,Female,0,2021-09-16,23.3793331384659,30,91,701.38,21
C010695,21,Male,1,2023-10-10,24.0426665782928,30,93,721.28,21
C011240,38,Male,0,2026-02-13,27.1360606713728,33,106,895.49,21
C011372,34,Female,1,2023-06-14,22.724062666297,32,89,727.17,21
C008659,52,Female,0,2025-01-31,26.6703221721034,31,91,826.78,21
C008361,30,Male,1,2023-12-12,24.5259999593099,30,87,735.78,21
C008269,22,Male,0,2024-04-13,29.1659375205636,32,109,933.31,21
C008051,60,Female,0,2025-01-21,28.3670588801889,34,108,964.48,21
C008190,28,Female,1,2025-09-01,28.1192856345858,28,83,787.34,21
C008198,48,Male,1,2022-02-03,25.8515624403954,32,93,827.25,21
C008230,20,Female,0,2026-01-05,22.6425806937679,31,87,701.92,21
C007591,53,Male,1,2022-03-17,21.9434482640234,29,79,636.36,21
C007452,53,Female,0,2026-01-15,25.5253124535084,32,97,816.81,21
C007329,60,Female,0,2025-10-24,22.0640000615801,35,99,772.24,21
C007382,56,Female,0,2024-04-13,25.5040626823902,32,92,816.13,21
C006896,22,Male,1,2023-03-29,23.407142826489,28,84,655.4,21
C005944,30,Female,0,2023-05-31,25.620000297373,22,62,563.64,21
C006054,43,Female,1,2022-03-13,21.125999991099,30,86,633.78,21
C006225,21,Male,1,2025-12-15,22.9954544630918,22,61,505.9,21
C006659,27,Male,0,2025-03-14,22.7969696738503,33,100,752.3,21
C004965,64,Male,1,2021-08-28,30.3896775399485,31,109,942.08,21
C005492,31,Female,0,2021-09-15,26.0019999504089,30,85,780.06,21
C005493,48,Male,0,2022-01-23,23.117647135959,34,87,786,21
C001266,52,Male,1,2023-10-31,25.8563636144002,33,92,853.26,21
C002230,29,Male,1,2023-07-24,23.1769999742508,30,77,695.31,21
C001805,36,Female,0,2022-08-09,26.4139999866486,30,89,792.42,21
C001950,55,Female,1,2025-04-12,27.3570590439965,34,106,930.14,21
C000386,25,Male,1,2025-03-25,21.2152941858067,34,91,721.32,21
C000277,57,Female,0,2023-09-03,25.7593937642647,33,102,850.06,21
C000603,24,Male,0,2025-07-20,20.0596427236285,28,73,561.67,21
C000997,27,Female,0,2025-01-18,25.3854548353137,33,98,837.72,21
C003383,63,Female,1,2023-10-30,27.2824136881993,29,92,791.19,21
C002648,48,Male,0,2021-04-27,28.3639998118083,30,99,850.92,21
C003720,37,Female,0,2024-01-27,26.189999963298,33,99,864.27,21
C003400,19,Female,0,2024-11-03,22.9746874272823,32,93,735.19,21
C004046,65,Female,0,2023-08-21,33.4365622103214,32,106,1069.97,21
C035727,22,Female,1,2023-12-28,22.2068965681668,29,83,644,21
C036443,62,Female,0,2024-02-08,25.5890322193023,31,101,793.26,21
C035045,69,Male,1,2024-10-02,29.4171429021018,35,108,1029.6,21
C035388,30,Male,0,2021-08-09,27.1012903336556,31,90,840.14,21
C034623,70,Male,1,2023-05-17,28.2551515319131,33,105,932.42,21
C034580,24,Male,0,2021-11-03,27.6020590137033,34,113,938.47,21
C033794,31,Female,1,2025-07-07,30.4303122907877,32,109,973.77,21
C033304,37,Male,0,2023-04-09,23.2248276677625,29,84,673.52,21
C033009,44,Female,0,2023-04-20,25.7924997657537,32,90,825.36,21
C032740,68,Female,1,2024-03-20,25.0213331540426,30,87,750.64,21
C032279,67,Male,0,2023-05-21,29.7171430042812,35,112,1040.1,21
C032332,25,Female,1,2024-02-22,26.8603450512064,29,88,778.95,21
C032255,25,Female,0,2024-12-02,27.7863636161342,33,105,916.95,21
C028533,65,Female,0,2022-10-25,33.307878855503,33,115,1099.16,21
C028540,63,Female,1,2021-04-10,23.7286205209535,29,86,688.13,21
C028266,69,Female,1,2024-11-24,27.5723998832703,25,70,689.31,21
C027819,38,Male,1,2024-03-04,22.4533334096273,30,84,673.6,21
C027479,22,Male,1,2024-09-04,23.6560001564026,25,72,591.4,21
C027549,19,Male,1,2024-07-21,29.0558064522282,31,100,900.73,21
C029003,44,Female,1,2024-03-19,28.369999781251,32,111,907.84,21
C029400,32,Male,0,2022-02-14,24.3564285891397,28,85,681.98,21
C029167,21,Male,0,2025-12-23,27.8277778183972,27,81,751.35,21
C029409,39,Male,0,2022-07-19,23.6854164997737,24,66,568.45,21
C030647,53,Female,0,2021-05-21,25.7260604627205,33,103,848.96,21
C030453,35,Male,1,2024-10-12,20.5203331867854,30,72,615.61,21
C029796,23,Female,1,2023-06-06,23.4463637453137,33,88,773.73,21
C030018,63,Male,0,2025-02-18,22.5729032639534,31,80,699.76,21
C030178,33,Female,0,2022-11-18,27.5731998443604,25,78,689.33,21
C030199,47,Male,1,2024-05-06,24.2882857458932,35,104,850.09,21
C030232,23,Male,1,2024-06-22,21.863103340412,29,89,634.03,21
C031692,57,Female,1,2024-05-17,28.5991667509079,24,74,686.38,21
C031552,64,Male,1,2025-11-02,28.1536364338615,33,112,929.07,21
C031537,32,Male,1,2022-04-21,25.9234374463558,32,96,829.55,21
C031467,55,Male,1,2022-08-16,22.0323333104451,30,77,660.97,21
C030856,32,Male,1,2023-01-09,23.8854546835928,33,98,788.22,21
C019169,27,Female,1,2023-03-08,27.8279306970794,29,86,807.01,21
C019259,20,Female,0,2021-05-13,20.7354545087525,33,95,684.27,21
C018968,63,Male,1,2023-07-12,29.0466665354642,33,113,958.54,21
C019140,52,Male,0,2023-09-04,26.0729169050852,24,74,625.75,21
C018824,66,Male,0,2022-01-18,26.8369998375575,30,90,805.11,21
C018409,63,Female,0,2021-07-17,21.5941937277394,31,86,669.42,21
C018533,42,Male,0,2021-11-23,24.3296774587324,31,84,754.22,21
C018591,67,Female,0,2024-10-31,23.7804001235962,25,71,594.51,21
C020153,69,Male,0,2022-04-19,30.5323334376017,30,96,915.97,21
C020025,59,Female,0,2023-09-29,22.6103123426437,32,98,723.53,21
C020043,62,Male,1,2021-04-21,27.2299999952316,30,88,816.9,21
C019742,21,Male,1,2023-05-12,32.2397058150348,34,124,1096.15,21
C019467,36,Male,0,2026-01-24,31.0557575370326,33,108,1024.84,21
C019503,58,Male,1,2022-12-16,26.250357065882,28,82,735.01,21
C019708,55,Male,0,2025-09-19,24.7031249031425,32,89,790.5,21
C020668,49,Female,1,2025-01-22,26.7082610752272,23,71,614.29,21
C021154,44,Female,1,2023-08-28,26.4364517504169,31,86,819.53,21
C021190,41,Female,1,2026-01-09,32.7091669440269,24,85,785.02,21
C021230,49,Female,0,2024-04-12,22.9346666812897,30,76,688.04,21
C021356,68,Male,0,2024-02-23,21.6566665084274,27,69,584.73,21
C021452,55,Female,1,2024-03-19,27.6217390972635,23,72,635.3,21
C021598,27,Male,1,2023-04-02,26.3365380947406,26,86,684.75,21
C022257,39,Male,1,2021-11-23,19.8357143742698,28,73,555.4,21
C022306,43,Female,0,2023-07-30,27.0328122377396,32,100,865.05,21
C022420,41,Female,1,2025-05-01,27.7012501060963,32,102,886.44,21
C024637,48,Female,0,2021-04-01,24.8339393572374,33,93,819.52,21
C024304,61,Male,1,2025-08-15,25.0127271594423,33,96,825.42,21
C024092,68,Male,0,2024-07-28,25.8803031083309,33,98,854.05,21
C023397,22,Female,0,2022-12-13,28.2891177990857,34,111,961.83,21
C026016,27,Male,0,2026-01-03,26.9918517713194,27,83,728.78,21
C026156,21,Female,1,2021-07-19,23.7655174156715,29,86,689.2,21
C026284,29,Male,1,2024-05-03,28.1206060973081,33,106,927.98,21
C025581,61,Male,0,2022-07-09,22.386000029246,30,82,671.58,21
C027134,66,Male,1,2022-06-09,29.0812123616536,33,112,959.68,21
C027064,43,Male,0,2025-07-31,22.9848275349058,29,86,666.56,21
C027217,28,Male,0,2024-07-31,30.336666468418,33,108,1001.11,21
C026750,51,Male,1,2024-10-18,23.8896551049989,29,85,692.8,21
C026616,44,Female,0,2023-07-17,24.9136667410533,30,87,747.41,21
C038863,27,Female,1,2022-05-13,25.8966665484689,33,105,854.59,21
C038530,64,Male,1,2023-01-19,26.1628124564886,32,90,837.21,21
C038101,22,Male,1,2021-05-21,24.6712120952028,33,101,814.15,21
C038157,21,Female,1,2024-01-20,25.224999996332,26,81,655.85,21
C038250,29,Female,1,2022-10-24,22.2493750676513,32,94,711.98,21
C038280,38,Male,0,2024-02-20,24.8303125947714,32,96,794.57,21
C037629,34,Female,0,2021-03-11,23.2862500846386,32,95,745.16,21
C036650,18,Male,1,2024-08-16,30.9441663722197,24,80,742.66,21
C036657,34,Male,1,2024-05-02,20.7299999883098,31,89,642.63,21
C039304,26,Female,1,2025-07-07,22.3773333072662,30,77,671.32,21
C039423,33,Female,0,2025-10-07,24.9572413543175,29,86,723.76,21
C039202,48,Female,1,2021-12-28,28.7906665802002,30,94,863.72,21
C039543,70,Male,0,2022-05-14,24.2585715906961,28,83,679.24,21
C039937,66,Female,0,2025-11-05,26.9218519705313,27,84,726.89,21
C039989,54,Male,0,2023-05-21,23.1315627098083,32,94,740.21,21
C040971,40,Male,1,2024-10-29,25.0434481604346,29,86,726.26,21
C040581,60,Female,0,2025-04-21,23.5937142099653,35,103,825.78,21
C040736,53,Female,1,2024-10-18,33.2072724862532,33,117,1095.84,21
C040233,62,Female,1,2025-12-19,25.4396875351667,32,98,814.07,21
C040331,18,Female,0,2022-06-20,25.7424240979281,33,99,849.5,21
C040373,50,Male,0,2024-03-26,25.470571245466,35,107,891.47,21
C040435,60,Male,1,2022-08-24,26.4716666857402,30,91,794.15,21
C040436,68,Female,1,2025-06-12,29.0709373801947,32,108,930.27,21
C040575,50,Female,0,2025-08-21,29.3103225461898,31,104,908.62,21
C044091,30,Female,1,2025-05-14,25.1312122344971,33,103,829.33,21
C044320,21,Male,0,2023-06-29,24.8130303007184,33,101,818.83,21
C044386,34,Male,0,2023-11-26,24.669655059946,29,85,715.42,21
C043993,60,Male,0,2024-04-24,27.3490322020746,31,101,847.82,21
C043771,25,Male,1,2024-06-20,21.3990320544089,31,94,663.37,21
C043829,21,Female,0,2025-08-15,26.9565623775125,32,101,862.61,21
C043496,69,Male,1,2024-12-18,25.0958621830776,29,82,727.78,21
C045585,29,Male,0,2025-03-15,26.5380643106276,31,95,822.68,21
C045650,56,Male,0,2022-10-23,29.6043997573853,25,81,740.11,21
C044802,53,Male,1,2021-05-23,33.0402942475151,34,115,1123.37,21
C044817,27,Male,1,2025-04-27,24.16181807807,33,98,797.34,21
C044860,41,Female,1,2022-04-24,32.4672414516581,29,100,941.55,21
C045042,64,Female,1,2026-01-18,25.5729030793713,31,89,792.76,21
C045126,28,Female,0,2025-09-02,27.4240626096725,32,104,877.57,21
C042645,34,Male,1,2021-07-04,24.0879998922348,30,84,722.64,21
C042686,21,Male,1,2022-09-26,22.6031250804663,32,97,723.3,21
C042386,33,Female,0,2023-10-19,26.457499895777,28,90,740.81,21
C043133,37,Male,0,2024-02-22,28.9706449816304,31,99,898.09,21
C043187,56,Male,1,2026-01-07,26.60749989748,32,93,851.44,21
C043228,29,Female,1,2022-05-22,23.7142426100644,33,94,782.57,21
C042013,63,Male,1,2026-02-05,20.2908570970808,35,96,710.18,21
C041987,50,Male,1,2025-11-23,23.4925712994167,35,94,822.24,21
C046146,56,Male,1,2025-05-23,24.1378788659067,33,97,796.55,21
C046171,22,Female,0,2022-05-18,26.6537930225504,29,92,772.96,21
C046522,44,Male,1,2023-07-01,24.636206824204,29,92,714.45,21
C046838,22,Female,0,2021-06-28,20.892413755943,29,71,605.88,21
C047386,47,Male,1,2023-06-30,27.1103125959635,32,98,867.53,21
C047426,30,Female,1,2021-08-30,19.1763637282632,33,86,632.82,21
C047147,32,Male,0,2025-08-17,25.1118181835521,33,104,828.69,21
C047486,59,Female,1,2024-01-04,24.1703123897314,32,88,773.45,21
C049021,61,Female,1,2024-10-04,27.3415627330542,32,96,874.93,21
C049095,57,Male,1,2025-11-11,23.0586667776108,30,83,691.76,21
C049103,31,Male,1,2023-08-12,26.6484375,32,93,852.75,21
C048738,31,Male,0,2023-03-05,22.6499999420983,28,86,634.2,21
C048864,64,Female,1,2025-04-10,28.8493106200777,29,96,836.63,21
C048330,32,Female,0,2025-08-17,32.5653332074483,30,100,976.96,21
C048334,64,Male,0,2023-05-07,21.4574285643441,35,104,751.01,21
C048362,25,Male,1,2025-11-15,23.4000000432134,32,90,748.8,21
C048079,63,Female,1,2024-08-22,22.7370968326446,31,92,704.85,21
C048848,53,Female,1,2022-04-07,20.9275758338697,33,85,690.61,22
C048663,55,Female,0,2025-06-12,26.6683332045873,30,92,800.05,22
C048974,68,Female,0,2024-04-14,21.586551945785,29,77,626.01,22
C048906,38,Female,1,2024-07-07,21.5492306122413,26,71,560.28,22
C049737,45,Female,0,2024-07-12,27.7341932250607,31,101,859.76,22
C049651,24,Male,0,2024-04-08,27.6118749305606,32,100,883.58,22
C049362,69,Male,1,2026-01-05,25.7231249213219,32,95,823.14,22
C049367,49,Female,1,2024-10-06,26.2962499707937,32,100,841.48,22
